code,school_name,category,year,total_enrollment,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,female_count,male_count,asian_count,black_count,hispanic_count,other_count,white_count,ela_test_takers,ela_l1,ela_l2,ela_l3,ela_l4,ela_l3_l4,math_test_takers,math_l1,math_l2,math_l3,math_l4,math_l3_l4
01M015,P.S. 015 Roberto Clemente,All Students,2015-16,162,32,33,39,23,17,18,0,0,0,79,83,9,50,98,0,0,53,24,20,0,0,9,54,25,18,0,0,11
01M015,P.S. 015 Roberto Clemente,Attend school outside district of residence,2015-16,37,7,7,11,7,0,0,0,0,0,24,13,0,11,22,0,0,11,0,6,0,0,0,11,0,0,0,0,0
01M015,P.S. 015 Roberto Clemente,English Language Learners,2015-16,16,0,0,0,0,0,0,0,0,0,7,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01M015,P.S. 015 Roberto Clemente,Poverty,2015-16,162,32,33,39,23,17,18,0,0,0,79,83,9,50,98,0,0,53,24,20,0,0,9,54,25,18,0,0,11
01M015,P.S. 015 Roberto Clemente,Reside in temporary housing,2015-16,65,12,14,17,10,0,0,0,0,0,26,39,0,15,47,0,0,20,11,0,0,0,0,21,11,6,0,0,0
01M015,P.S. 015 Roberto Clemente,Students with Disabilities,2015-16,57,7,14,9,11,9,7,0,0,0,22,35,0,21,35,0,0,25,16,8,0,0,0,26,18,7,0,0,0
01M019,P.S. 019 Asher Levy,All Students,2015-16,249,47,43,41,43,35,40,0,0,0,115,134,26,48,156,0,0,113,25,35,36,17,53,112,26,30,30,26,56
01M019,P.S. 019 Asher Levy,Attend school outside district of residence,2015-16,124,21,13,23,26,21,20,0,0,0,57,67,0,28,77,0,10,65,14,24,15,12,27,64,15,18,17,14,31
01M019,P.S. 019 Asher Levy,English Language Learners,2015-16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01M019,P.S. 019 Asher Levy,Poverty,2015-16,198,40,34,33,33,27,31,0,0,0,99,99,22,42,126,0,0,86,24,25,28,9,37,85,24,28,18,15,33
01M019,P.S. 019 Asher Levy,Reside in temporary housing,2015-16,37,9,6,6,0,0,6,0,0,0,18,19,0,0,30,0,0,15,0,8,0,0,0,15,0,7,0,0,0
01M019,P.S. 019 Asher Levy,Students with Disabilities,2015-16,79,15,14,12,11,11,16,0,0,0,21,58,0,12,54,0,7,36,22,8,0,0,6,36,20,8,0,6,8
01M020,P.S. 000 Anna Silver,All Students,2015-16,535,82,90,98,92,81,92,0,0,0,252,283,192,45,261,14,23,242,84,83,58,17,75,242,95,68,45,34,79
01M020,P.S. 000 Anna Silver,Attend school outside district of residence,2015-16,177,24,22,34,30,30,37,0,0,0,87,90,62,12,92,0,0,87,32,28,0,0,27,87,35,23,19,10,29
01M378,School for Global Leaders,English Language Learners,2015-16,20,0,0,0,0,0,0,6,6,8,10,10,8,0,10,0,0,18,8,10,0,0,0,18,9,7,0,0,0
